doc_id,text,doc_date
1,"Hat fővárosi képviselő öt percnél is kevesebbet beszélt egy év alatt a közgyűlésben.










",2006-01-02
2,"Moszkva elzárta a gázcsapot
Negyedével csökkent a hazánkba érkező földgáz mennyisége
A Gazprom tegnap elzárta az
Ukrajnának szánt gáz csapjait.
Ugyanakkor az ukrán gázszol­
gáltató vállalat, a Naftogaz je­
lezte, korlátozások lehetnek az
Európába irányuló szállítások­
ban. A Mól tájékoztatása sze­
rint a hazánkba érkező gáz
mennyisége 25 százalékkal
csökkent. Az óév utolsó órái­
ban Moszkva még egy, a piaci
ár bevezetésének negyedéves
halasztását tartalmazó ajánla­
tot tett a vita megoldására, Ki-
jev azonban ezt - moszkvai ér­
telmezés szerint - elutasította.
Jámbor Gyui.a____________
M ár ma is elrendelhetik a leg­
nagyobb, az óránként 2500 
köbméternél több földgázt fogyasz­
tó ipari, illetve mezőgazdasági ter­
melők felhasználásának korlátozá­
sát - mondta el lapunknak Ferencz
I. Szabolcs, a Mol-csoport kommu­
nikációs igazgatója. Lapzártánkkor 
ugyanis még nem lehetett tudni, 
hogy átmeneti nyomáscsökkenés­
ről van-e szó, vagy tartósan fenn­
marad az a helyzet, hogy az Orosz­
országból Ukrajnán keresztül érke­
ző gázvezetékek 25 százalékkal ke­
vesebb gázt szállítanak hazánkba, 
mint a szerződésben előírt mennyi­
ség. A Mól szakembere azt sem 
tudta megmondani, hogy az orosz
partner döntése vagy az ukrán fél 
tevékenysége nyomán érkezik ke­
vesebb gáz hazánkba. A Gazprom 
bejelentette, Ukrajna veszi el jogel­
lenesen a nyugati országokba, köz­
tük hazánkba érkező földgázt.
Újév reggelén - miután a szom­
széd ország elutasította a drasztikus
áremelési követelést -  a Gazprom 
elzárta a gázcsapokat. Ukrajna ed­
dig ezer köbméterenként 50 dollá­
rért kapta az orosz gázt, a drágulás­
ban legfeljebb 80 dollárt tart elfo­
gadhatónak 2006-ban, még az „eu­
rópai árképzés” Ukrajnára alkalma­
zott módszerével is. A Gazprom
csaknem ötszörös árat, 230 dollárt 
követel. Ukrán részről tegnap dél­
után már megerősítették, csökken a 
gáznyomás az ország vezetékrend­
szerében, hozzátéve, a fogyasztókat 
egyelőre mindez nem érinti.
[M o s z k v a . . . ] 
Folytatás és iegyzet a 10. oldalon >
Az orosz-ukrán árvita zavart okozhat az európai energiapiacon is",2006-01-02
3,"Zoltai Jeruzsálemben
Zoltai Gusztáv, a Magyarországi 
Zsidó Hitközségek Szövetsé­
gének ügyvezető igazgatója 
gyújtotta meg tegnap a nyol­
cadik hanukalángot a jeruzsá- 
lemi Siratófalnál. Zoltai, aki a 
hétfőn Jeruzsálemben meg­
nyíló VI. nemzetközi rabbi­
konferencia egyik díszvendé­
geként érkezett a városba, te­
lefonon tájékoztatta az MTI-t 
az eseményről, s megjegyezte: 
„nagy dolog a magyarországi 
zsidóság, egyúttal Magyaror­
szág számára, hogy megtisz­
teltek bennünket” a felkérés­
sel a lánggyújtásra a judaiz­
mus legszentebb helyeinek 
egyikénél. (MTI)
7
",2006-01-02
4,"Az államfő óv a lejárató  kampánytól
A köztársasági elnök abban
bízik, hogy 2006-ban nem le­
het választást nyerni lejárató
kampánnyal. Sólyom László
a nemzethez címzett újévi kö­
szöntőjében a rendszerváltás
utáni politika súlyos bűné­
nek nevezte, hogy a pártok el­
lenségképekkel dolgoznak.
• Farkas Mhi.inda___________
Sólyom László újévi köszön­
tőjének középpontjában a
2006-os országgyűlési és önkor­
mányzati választások álltak. Az 
államfő rendhagyó, a televíziós 
csatornákon tegnap több idő­
pontban is sugárzott interjújában 
felszólította a polgárokat, hogy 
vegyék komolyan a választásokat, 
hiszen ez az az alkalom, amikor 
mindannyian döntési.helyzetben 
vagyunk. Sólyom szerint a de­
mokrácia nyilvánul meg abban, 
hogy választhatunk, s mivel sza­
badon választunk, nagy a felelős­
ségünk. A felelős ember ad magá­
ra, és megköveteli, hogy ne akar­
ják teljesíthetetlen ígéretekkel 
vagy mások kárára megnyerni tá­
mogatását. Reális, hosszú távú 
programot akar látni, és annak 
hiteles jelét, hogy az adott párt­
ban lesz elszántság véghezvinni 
mindazt, amit ígér.
[E lítélte...]  Folytatás a 3. oldalon >",2006-01-02
5,"Imáhét és pápai aggodalom
A magyar püspökök a nemzetért, a szentatya a békéért imádkozott
H Í R Ö S S Z E F O G L A L Ó
A nemzet sanyarú állapota és az 
idei esztendő jeles évfordulói 
okán imaévet hirdetett a magyar 
katolikus egyház. A püspöki konfe­
rencia erről szóló körlevelét tegnap 
minden magyarországi katolikus 
templomban felolvasták. Az állás­
foglalás említést tesz arról, hogy 
miért jutott idáig a magyar nemzet. 
A körlevél a tragédia elkerülése mi­
att a 2006-os esztendőre imára sar­
kallja a nemzet egészét, s arra biztat 
mindenkit, hogy egyénileg és a kö­
zösség részeként is tegyen meg 
mindent. Az állásfoglalás szerint Jé­
zus nem csüggedésre, hanem re­
ménységre hívott meg mindenkit.
A terrorizmus, a nihilizmus és a 
fanatikus fundamentalizmus fe­
nyegeti a világbékét - jelentette ki 
XVI. Benedek pápa vasárnapi 
szentbeszédében újév napján, 
amely a katolikus egyházban egy­
ben a béke világnapja is. A Szent 
Péter-bazilikában tartott mise kere­
tében mondott homíliában az egy­
házfő kérte az embereket, a népe­
ket, a kormányokat, a nagyhatal­
makat és minden más intézményt, 
a nemzetközieket is, hogy összefog­
va küzdjenek e fenyegetések ellen.
BŐVEBBEN A 3. ÉS A 8. OLDALON
XVI. Benedek a népek és kormányok összefogását sürgette fotö: afp/patrick hertzog",2006-01-02
6,"Eladják a honvédség értékes ingatlanjait
A Honvédelmi Minisztérium javaslatára a honvédség tizen­
két, ötvenmillió forint fölötti értékű ingatlanját kívánják el­
adni még a választási ciklus hátralévő idejében. Magántulaj­
donba kerülhet többek között a Margit-szigeti Európa Ház
több teniszpályával, Balatonberény és Siófok honvédüdülői,
összesen mintegy száz különböző ingatlan.
B - H a r a s z t i G y u l a __________________
T izenkét, ötvenmillió forint fö­
lötti ingatlanát adná el a hon­
védség még ebben a választási cik­
lusban - tudta meg lapunk. A Hon­
védelmi Minisztérium egyébként - 
mint megírtuk -  tavaly mintegy 
negyven vagyonkezelésében lévő 
ingatlan értékesítési eljárásának 
megindítására kért engedélyt a tu­
lajdonosi jogokat gyakorló Kincs­
tári Vagyoni Igazgatóságtól (KVI), 
az idén pedig további 60-70 hon­
védségi ingatlan meghirdetését ter­
vezik. A szaktárca kérésére a KVI 
elkezdte az állami vagyonkörből 
való kivonását az újpesti Külső Vá­
ci úton lévő, csaknem százezer 
négyzetméter területű volt Petőfi 
laktanyának, de a fővárosban fo­
lyamatban van számos más értékes 
ingatlan értékesítése is.
Eladnák például a budaörsi re­
pülőtérrel szemben, az M7-es és 
az Ml-es autópálya közelében lé­
vő, mintegy 165 ezer négyzetmé-
teres, értékes telken elhelyezkedő 
Vasvári laktanyát. A területen je­
lenleg is ipari park jellegű telep­
hely működik, ezért azt feltehető­
leg logisztikai célokra hasznosít­
hatják majd.
Szakértők szerint nagy értékű 
egyedi ingatlanokhoz juthat az a 
vállalkozó vagy társaság, amely 
megveszi a Margit-szigeten az Eu­
rópa Ház névre elkeresztelt, csak­
nem 1500 négyzetméteren meg­
épült vendégházat és sporttelepet. 
Németh Bélától, a KVI illetékesétől 
megtudtuk, hogy a komplexum pá­
lyáztatása már előkészítés alatt áll, 
de ez nem lesz egyszerű, mert telek­
alakítási tilalom van a területen, és 
az ingatlan osztatlan közös tulaj­
donban van a fővárossal. A szakér­
tő tájékoztatása szerint eladnák a 
HM ötszáz négyzetméter alapterü­
letű irodaházát is a VIII. kerületi 
Kőfaragó utcában, de ezt az ingat­
lant még nem vonták ki az állami 
vagyonkörből.
[K iá r u s ít já k . . . ]  Folytatás a 2. oldalon >",2006-01-02
7,"Kínai gazdaság: rekordnövekedés
A kínai gazdaság 2005-ben az elő­
zetes adatok szerint 9,8 száza­
lékkal bővült. A tervezési mi­
niszterhelyettes szerint ezzel 
a GDP-növekedés túlszár­
nyalta a korábbi 9,4 százalé­
kos becslést. 2004-ben 9,5 
százalékkal nőtt a kínai GDP. 
A központi bank szerint az 
infláció 2006-ban két százalék 
körül mozog majd, szemben 
az előre jelzett 1,8 százalék­
kal. A 2005. évi teljesítmény, 
illetve a 2006. évi prognózis 
alapján Kína a GDP alapján 
hamarosan a világ negyedik 
legnagyobb gazdaságává 
válhat. (MTI)",2006-01-02
8,Polgári értékrendű újságíróknak adják át ez évtől a Mikszáth Kálmán-díjakat.,2006-01-02
9,"Újévtől ismét drágul az élet, leginkább a fővárosban élőkterhei növekednek.",2006-01-02
10,Az Európai Unió hitelének visszaszerzését remélik a soros elnök Ausztriától.,2006-01-02
