token;ner
DR;O
.;O
;
HÖRCSIK;I-PER
RICHÁRD;I-PER
(;O
Fidesz;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
.;O
;
Tisztelt;I-ORG
Elnök;I-ORG
Úr;I-ORG
!;I-ORG
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Az;O
Európai;I-ORG
Parlament;I-ORG
egyik;O
bizottsága;O
ma;O
délután;O
egyórás;O
vitát;O
tart;O
Brüsszelben;I-LOC
,;O
idézem;O
:;O
„;O
Az;O
alapvetõ;O
jogok;O
helyzete;O
Magyarországon;I-LOC
	O;
címmel;O
.;O
;
A;O
magyarországi;O
baloldal;O
brüsszeli;O
barátai;O
segítségével;O
jól;O
láttuk;O
azt;O
,;O
hogy;O
az;O
elmúlt;O
években;O
számtalanszor;O
akarták;O
Magyarországot;I-LOC
pellengérre;O
állítani;O
.;O
;
Mondhatnánk;O
tehát;O
,;O
hogy;O
a;O
szappanopera;O
tovább;O
folytatódik;O
,;O
csak;O
a;O
szokásos;O
lejárt;O
lemezrõl;O
van;O
szó;O
.;O
;
Mivel;O
itthon;O
már;O
senki;O
nem;O
hallgat;O
rájuk;O
,;O
inkább;O
külföldön;O
próbálnak;O
szerencsét;O
ebben;O
az;O
ügyben;O
is;O
.;O
;
Ha;O
azonban;O
,;O
tisztelt;O
képviselõtársaim;O
,;O
jobban;O
megnézzük;O
a;O
mai;O
meghallgatás;O
napirendjét;O
,;O
akkor;O
azt;O
látjuk;O
,;O
hogy;O
itt;O
most;O
nem;O
a;O
baloldal;O
lesz;O
a;O
fõszereplõ;O
,;O
hanem;O
másik;O
három;O
szervezet;O
.;O
;
A;O
helyzet;O
úgy;O
áll;O
,;O
hogy;O
a;O
vádló;O
szerepében;O
tehát;O
most;O
nem;O
akár;O
Szanyi;I-PER
Tibor;I-PER
vagy;O
éppen;O
Niedermüller;I-PER
Péter;I-PER
,;O
hanem;O
az;O
Amnesty;I-ORG
International;I-ORG
,;O
a;O
Társaság;O
a;O
Szabadságjogokért;I-ORG
és;O
a;O
Magyar;I-ORG
Helsinki;I-ORG
Bizottság;I-ORG
tetszeleg;O
.;O
;
A;O
közkeletû;O
félreértéssel;O
szemben;O
,;O
ezek;O
nem;O
igazi;O
civil;O
szervezetek;O
,;O
itt;O
nemzetközi;O
szervezetek;O
magyarországi;O
irodáiról;O
van;O
szó;O
,;O
és;O
külföldi;O
pénzbõl;O
fizetett;O
aktivistákról;O
,;O
vagyis;O
nyugodtan;O
mondhatjuk;O
,;O
hogy;O
külföldi;O
ügynökökrõl;O
beszélhetünk;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Úgy;O
hírlik;O
,;O
hogy;O
ez;O
a;O
három;O
szervezet;O
ma;O
délután;O
Ahmed;I-PER
H.;I-PER
néven;O
ismert;O
,;O
elítélt;O
terrorista;O
ügyén;O
keresztül;O
szeretné;O
bemutatni;O
az;O
alapvetõ;O
jogok;O
helyzetét;O
Magyarországon;I-LOC
.;O
;
Szeretném;O
emlékeztetni;O
képviselõtársaimat;O
,;O
hogy;O
Ahmed;I-PER
H.;I-PER
az;O
a;O
szír;O
férfi;O
,;O
akit;O
terrorcselekmény;O
és;O
más;O
bûncselekmények;O
miatt;O
a;O
közelmúltban;O
tíz;O
év;O
fegyházbüntetésre;O
ítélt;O
a;O
magyar;O
bíróság;O
,;O
mert;O
,;O
ahogy;O
láttuk;O
annak;O
idején;O
a;O
televízió;O
képernyõjén;O
is;O
,;O
megafonon;O
buzdította;O
az;O
illegális;O
migránsok;O
tömegeit;O
a;O
határon;O
,;O
hogy;O
kövekkel;O
dobálják;O
a;O
határt;O
