"","year","country","continent","pop"
"1",1952,"Afghanistan","Asia",8425333
"2",1957,"Afghanistan","Asia",9240934
"3",1962,"Afghanistan","Asia",10267083
"4",1967,"Afghanistan","Asia",11537966
"5",1972,"Afghanistan","Asia",13079460
"6",1977,"Afghanistan","Asia",14880372
"7",1982,"Afghanistan","Asia",12881816
"8",1987,"Afghanistan","Asia",13867957
"9",1992,"Afghanistan","Asia",16317921
"10",1997,"Afghanistan","Asia",22227415
"11",2002,"Afghanistan","Asia",25268405
"12",2007,"Afghanistan","Asia",31889923
"13",1952,"Albania","Europe",1282697
"14",1957,"Albania","Europe",1476505
"15",1962,"Albania","Europe",1728137
"16",1967,"Albania","Europe",1984060
"17",1972,"Albania","Europe",2263554
"18",1977,"Albania","Europe",2509048
"19",1982,"Albania","Europe",2780097
"20",1987,"Albania","Europe",3075321
"21",1992,"Albania","Europe",3326498
"22",1997,"Albania","Europe",3428038
"23",2002,"Albania","Europe",3508512
"24",2007,"Albania","Europe",3600523
"25",1952,"Algeria","Africa",9279525
"26",1957,"Algeria","Africa",10270856
"27",1962,"Algeria","Africa",11000948
"28",1967,"Algeria","Africa",12760499
"29",1972,"Algeria","Africa",14760787
"30",1977,"Algeria","Africa",17152804
"31",1982,"Algeria","Africa",20033753
"32",1987,"Algeria","Africa",23254956
"33",1992,"Algeria","Africa",26298373
"34",1997,"Algeria","Africa",29072015
"35",2002,"Algeria","Africa",31287142
"36",2007,"Algeria","Africa",33333216
"37",1952,"Angola","Africa",4232095
"38",1957,"Angola","Africa",4561361
"39",1962,"Angola","Africa",4826015
"40",1967,"Angola","Africa",5247469
"41",1972,"Angola","Africa",5894858
"42",1977,"Angola","Africa",6162675
"43",1982,"Angola","Africa",7016384
"44",1987,"Angola","Africa",7874230
"45",1992,"Angola","Africa",8735988
"46",1997,"Angola","Africa",9875024
"47",2002,"Angola","Africa",10866106
"48",2007,"Angola","Africa",12420476
"49",1952,"Argentina","Americas",17876956
"50",1957,"Argentina","Americas",19610538
"51",1962,"Argentina","Americas",21283783
"52",1967,"Argentina","Americas",22934225
"53",1972,"Argentina","Americas",24779799
"54",1977,"Argentina","Americas",26983828
"55",1982,"Argentina","Americas",29341374
"56",1987,"Argentina","Americas",31620918
"57",1992,"Argentina","Americas",33958947
"58",1997,"Argentina","Americas",36203463
"59",2002,"Argentina","Americas",38331121
"60",2007,"Argentina","Americas",40301927
"61",1952,"Australia","Oceania",8691212
"62",1957,"Australia","Oceania",9712569
"63",1962,"Australia","Oceania",10794968
"64",1967,"Australia","Oceania",11872264
"65",1972,"Australia","Oceania",13177000
"66",1977,"Australia","Oceania",14074100
"67",1982,"Australia","Oceania",15184200
"68",1987,"Australia","Oceania",16257249
"69",1992,"Australia","Oceania",17481977
"70",1997,"Australia","Oceania",18565243
"71",2002,"Australia","Oceania",19546792
"72",2007,"Australia","Oceania",20434176
"73",1952,"Austria","Europe",6927772
"74",1957,"Austria","Europe",6965860
"75",1962,"Austria","Europe",7129864
"76",1967,"Austria","Europe",7376998
"77",1972,"Austria","Europe",7544201
"78",1977,"Austria","Europe",7568430
"79",1982,"Austria","Europe",7574613
"80",1987,"Austria","Europe",7578903
"81",1992,"Austria","Europe",7914969
"82",1997,"Austria","Europe",8069876
"83",2002,"Austria","Europe",8148312
"84",2007,"Austria","Europe",8199783
"85",1952,"Bahrain","Asia",120447
"86",1957,"Bahrain","Asia",138655
"87",1962,"Bahrain","Asia",171863
"88",1967,"Bahrain","Asia",202182
"89",1972,"Bahrain","Asia",230800
"90",1977,"Bahrain","Asia",297410
"91",1982,"Bahrain","Asia",377967
"92",1987,"Bahrain","Asia",454612
"93",1992,"Bahrain","Asia",529491
"94",1997,"Bahrain","Asia",598561
"95",2002,"Bahrain","Asia",656397
"96",2007,"Bahrain","Asia",708573
"97",1952,"Bangladesh","Asia",46886859
"98",1957,"Bangladesh","Asia",51365468
"99",1962,"Bangladesh","Asia",56839289
"100",1967,"Bangladesh","Asia",62821884
"101",1972,"Bangladesh","Asia",70759295
"102",1977,"Bangladesh","Asia",80428306
"103",1982,"Bangladesh","Asia",93074406
"104",1987,"Bangladesh","Asia",103764241
"105",1992,"Bangladesh","Asia",113704579
"106",1997,"Bangladesh","Asia",123315288
"107",2002,"Bangladesh","Asia",135656790
"108",2007,"Bangladesh","Asia",150448339
"109",1952,"Belgium","Europe",8730405
"110",1957,"Belgium","Europe",8989111
"111",1962,"Belgium","Europe",9218400
"112",1967,"Belgium","Europe",9556500
"113",1972,"Belgium","Europe",9709100
"114",1977,"Belgium","Europe",9821800
"115",1982,"Belgium","Europe",9856303
"116",1987,"Belgium","Europe",9870200
"117",1992,"Belgium","Europe",10045622
"118",1997,"Belgium","Europe",10199787
"119",2002,"Belgium","Europe",10311970
"120",2007,"Belgium","Europe",10392226
"121",1952,"Benin","Africa",1738315
"122",1957,"Benin","Africa",1925173
"123",1962,"Benin","Africa",2151895
